Datetime,Load
09/12/2021 12:00:00,8247.727637380362
09/12/2021 13:00:00,8266.9432888031
09/12/2021 14:00:00,8168.668525218964
09/12/2021 15:00:00,8288.200530081987
09/12/2021 16:00:00,8269.938628643751
09/12/2021 17:00:00,8264.605274707079
09/12/2021 18:00:00,8334.517174184322
09/12/2021 19:00:00,8304.358932077885
09/12/2021 20:00:00,8269.494134932756
09/12/2021 21:00:00,8292.952732741833
09/12/2021 22:00:00,8327.146795153618
09/12/2021 23:00:00,8349.025414675474
09/13/2021 00:00:00,8394.170341402292
09/13/2021 01:00:00,8375.766361743212
09/13/2021 02:00:00,8301.488267302513
09/13/2021 03:00:00,8270.012235432863
09/13/2021 04:00:00,8291.371613264084
09/13/2021 05:00:00,8330.8074490726
09/13/2021 06:00:00,8342.078132033348
